field,mngt_soil,culture,nest_n,nest_pa,area_ha,alt_plot,slope_plot,lsc_BPA_500m,lsc_dist_to_BPA,lsc_Forest_500m,lsc_Grassland_500m,lsc_Crop_500m,lsc_Urban_500m,soil_bulk_dens,soil_rel_dens,soil_som,soil_ph,soil_sand,soil_silt,soil_clay,sqa_cov_crop,sqa_cov_moss,sqa_cov_litter,sqa_cov_weed,sqa_cov_bare,sqa_veg_height
DeJo07,CT,Winter wheat,6,1,1.8814463883474468,433.3603583802568,1.7576937146801899,6.37,73,3.12,24.46,43.92,27.16,1.3792838109758696,0.7177848046281626,1.708,7.89,50.97464394025128,33.93956487059873,15.08579118914999,54.15,0,0,5.9,39.95,55.6
JaBu01,NT,Winter wheat,1,1,2.7009331791102884,633.4115928609103,4.034021755590796,7.95,65,14.39,27.62,53.99,3.96,1.2599266203209183,0.6699340583249477,3.466,6.122,41.737508679463495,39.50346962304107,18.759021697495434,42.7,1.5,17.15,3.1,35.55,66.35
JoDe01,CT,Winter wheat,0,0,5.3042276032492515,472.9805633462664,1.263151348360144,9.23,217,1.81,23.37,57.75,16.82,1.4326927787286723,0.7351193912074273,1.764,5.898,34.831222407781674,44.48537825052473,20.683399341693594,68.55,0,0,5.25,26.2,67.35
JoMe02,CT,Winter wheat,2,1,3.692224429886602,459.62390924536663,2.6028573800526233,11.03,118,4.38,11.3,72.2,10.2,1.3641153365724075,0.7006663777728864,2.402,6.382,30.781158959125783,44.79833293589716,24.42050810497706,59.2,0,0,3.85,36.95,47.45
JoMe05,CT,Winter wheat,2,1,3.471072343605384,494.6515695800781,2.1384410845438637,7.47,16,44.17,12.39,40.91,2.3,1.319587038668989,0.6733772782762963,2.676,7.368,33.51198147274041,37.749304194174464,28.738714333085127,53.4,0,0.15,4.35,42.1,42.95
LuHe01,NT,Winter wheat,2,1,3.2900153847575186,438.28111401367187,1.6645609258810679,3.24,22,0.05,9.43,70.69,18.93,1.3861005080913316,0.7263822051486106,3.41,7.718,34.63717941897211,41.67939477475534,23.683425806272545,37.15,0,1.65,15.65,45.55,59.85
NiSe02,CT,Winter wheat,0,0,1.0372946759473531,438.0280342610677,2.769709366639455,1.32,299,2.44,5.83,77.83,13.8,1.3955551556653392,0.708181939337205,2.586,6.256,32.41248603429809,37.57093261620663,30.016581349495272,64.9,0.05,0,3.8,31.25,53.53333333333333
NiSe03,CT,Winter wheat,1,1,5.39919107479006,423.6668186135488,2.176604611987937,1.84,202,19.64,3.13,58.96,18.08,1.490025762750875,0.7588419096175912,1.418,6.07,29.094611882618466,49.721046848594376,21.184341268787158,39.95,0,0,1.05,59,26
PaWe03,NT,Winter wheat,0,0,2.3504337615072726,429.79043166264296,1.6284972804571336,4.12,142,4.17,6.1,83.65,3.03,1.4575251113331462,0.7509246416298728,2.346,5.604,41.745672271030585,35.26785798901209,22.98646973995732,61.45,0.3,7.3,2.75,28.2,58.95
PaWe05,NT,Winter wheat,10,1,6.050170066806674,470.49031058690883,2.355296995250448,2.99,107,2.88,7.28,71.92,17.68,1.5337066668089658,0.7911652013790782,1.916,7.9239999999999995,38.54844996120952,41.7022471427493,19.74930289604118,23.3,0,9.95,0.45,66.3,32.85
RaMe03,NT,Winter wheat,0,0,2.677276478101313,372.1562472559126,1.5514907562440359,5.5,100,7.63,9.05,71.41,8.9,1.3480943575536715,0.6878943461217926,3.004,7.168,24.551860999508996,44.71357629743917,30.734562703051836,46.05,0.25,1.6,9.5,42.6,47
SeCr01,CT,Winter wheat,8,1,2.254050820849836,682.0498168945312,1.354582012126843,7.35,145,11.59,21.84,64.78,1.8,1.1581421295283587,0.6661460626847447,6.0120000000000005,6.436,47.719138016619304,36.13357372451128,16.147288258869413,48.55,0,0,0.55,50.9,47.85
StTe05,NT,Winter wheat,0,0,3.395639403450489,688.4352984569786,2.8244877568473714,1.65,143,3.7,36.04,55.39,4.35,1.134392922580047,0.6094962521201155,4.788,6.582,31.316578592058256,44.95181605941781,23.731605348523935,35.45,0,15.35,3.75,45.45,43.7
SyPi01,CT,Winter wheat,0,0,2.7437423352062704,676.3549583782778,0.884774399586721,2.36,325,0.25,17.86,78.21,3.59,1.0989021437859268,0.582802892733366,3.804,5.936,37.61921368072895,40.63916729301442,21.74161902625663,51.55,0,0.25,0.7,47.5,46.6
YvCh03,NT,Winter wheat,3,1,5.805913701931387,435.8599513897433,1.3113437284302367,10.82,94,6.05,20.26,69.08,3.34,1.3466708927155866,0.698888406739492,2.9699999999999998,7.244,35.194731882402465,40.58734314114588,24.21792497645166,59.5,0,19.05,1.15,20.3,62.15
